PO_ID,ProductID,SupplierID,WarehouseID,OrderDate,ExpectedDeliveryDate,ActualDeliveryDate,QuantityOrdered,QuantityReceived,UnitCost,TotalCost,Status,DelayDays
PO000024,PROD0002,SUP016,WH03,17-02-2025,22-02-2025,23-02-2025,593,593,110.72,65656.96,Delivered,1
PO000025,PROD0002,SUP016,WH03,25-03-2025,30-03-2025,30-03-2025,593,593,110.72,65656.96,Delivered,0
PO000026,PROD0002,SUP016,WH03,24-04-2025,29-04-2025,30-04-2025,593,593,110.72,65656.96,Delivered,1
PO000027,PROD0002,SUP016,WH03,21-05-2025,26-05-2025,27-05-2025,593,593,110.72,65656.96,Delivered,1
PO000028,PROD0002,SUP016,WH03,17-06-2025,22-06-2025,22-06-2025,593,593,110.72,65656.96,Delivered,0
PO000029,PROD0002,SUP016,WH03,14-07-2025,19-07-2025,26-07-2025,593,593,110.72,65656.96,Delivered,7
PO000030,PROD0002,SUP016,WH03,21-08-2025,26-08-2025,27-08-2025,593,593,110.72,65656.96,Delivered,1
PO000031,PROD0002,SUP016,WH03,24-09-2025,29-09-2025,29-09-2025,593,593,110.72,65656.96,Delivered,0
PO000032,PROD0002,SUP016,WH03,03-11-2025,08-11-2025,08-11-2025,593,593,110.72,65656.96,Delivered,0
PO000033,PROD0002,SUP016,WH03,15-12-2025,20-12-2025,21-12-2025,593,593,110.72,65656.96,Delivered,1
PO000034,PROD0002,SUP016,WH04,02-01-2025,07-01-2025,07-01-2025,416,416,110.72,46059.52,Delivered,0
PO000035,PROD0002,SUP016,WH04,12-02-2025,17-02-2025,18-02-2025,416,416,110.72,46059.52,Delivered,1
PO000036,PROD0002,SUP016,WH04,21-03-2025,26-03-2025,26-03-2025,416,416,110.72,46059.52,Delivered,0
PO000037,PROD0002,SUP016,WH04,19-04-2025,24-04-2025,26-04-2025,416,416,110.72,46059.52,Delivered,2
PO000038,PROD0002,SUP016,WH04,19-05-2025,24-05-2025,26-05-2025,416,416,110.72,46059.52,Delivered,2
PO000039,PROD0002,SUP016,WH04,12-06-2025,17-06-2025,17-06-2025,416,416,110.72,46059.52,Delivered,0
PO000040,PROD0002,SUP016,WH04,05-07-2025,10-07-2025,12-07-2025,416,416,110.72,46059.52,Delivered,2
PO000041,PROD0002,SUP016,WH04,31-07-2025,05-08-2025,07-08-2025,416,416,110.72,46059.52,Delivered,2
PO000042,PROD0002,SUP016,WH04,29-08-2025,03-09-2025,03-09-2025,416,416,110.72,46059.52,Delivered,0
PO000043,PROD0002,SUP016,WH04,06-10-2025,11-10-2025,12-10-2025,416,416,110.72,46059.52,Delivered,1
PO000044,PROD0002,SUP016,WH04,18-11-2025,23-11-2025,25-11-2025,416,416,110.72,46059.52,Delivered,2
PO000045,PROD0002,SUP016,WH04,23-12-2025,28-12-2025,30-12-2025,416,416,110.72,46059.52,Delivered,2
PO000046,PROD0002,SUP016,WH02,05-01-2025,10-01-2025,11-01-2025,372,372,110.72,41187.84,Delivered,1
PO000047,PROD0002,SUP016,WH02,13-02-2025,18-02-2025,20-02-2025,372,372,110.72,41187.84,Delivered,2
PO000048,PROD0002,SUP016,WH02,21-03-2025,26-03-2025,26-03-2025,372,372,110.72,41187.84,Delivered,0
PO000049,PROD0002,SUP016,WH02,19-04-2025,24-04-2025,25-04-2025,372,372,110.72,41187.84,Delivered,1
PO000050,PROD0002,SUP016,WH02,16-05-2025,21-05-2025,23-05-2025,372,372,110.72,41187.84,Delivered,2
PO000051,PROD0002,SUP016,WH02,12-06-2025,17-06-2025,21-06-2025,372,372,110.72,41187.84,Delivered,4
PO000052,PROD0002,SUP016,WH02,12-07-2025,17-07-2025,18-07-2025,372,372,110.72,41187.84,Delivered,1
PO000053,PROD0002,SUP016,WH02,09-08-2025,14-08-2025,14-08-2025,372,372,110.72,41187.84,Delivered,0
PO000054,PROD0002,SUP016,WH02,08-09-2025,13-09-2025,14-09-2025,372,372,110.72,41187.84,Delivered,1
PO000055,PROD0002,SUP016,WH02,14-10-2025,19-10-2025,28-10-2025,372,372,110.72,41187.84,Delivered,9
PO000056,PROD0002,SUP016,WH02,03-12-2025,08-12-2025,21-12-2025,372,372,110.72,41187.84,Delivered,13
PO000057,PROD0002,SUP016,WH01,03-01-2025,08-01-2025,09-01-2025,426,426,110.72,47166.72,Delivered,1
PO000058,PROD0002,SUP016,WH01,15-02-2025,20-02-2025,20-02-2025,426,426,110.72,47166.72,Delivered,0
PO000059,PROD0002,SUP016,WH01,21-03-2025,26-03-2025,28-03-2025,426,426,110.72,47166.72,Delivered,2
PO000060,PROD0002,SUP016,WH01,21-04-2025,26-04-2025,26-04-2025,426,426,110.72,47166.72,Delivered,0
PO000061,PROD0002,SUP016,WH01,19-05-2025,24-05-2025,24-05-2025,426,426,110.72,47166.72,Delivered,0
PO000062,PROD0002,SUP016,WH01,13-06-2025,18-06-2025,20-06-2025,426,426,110.72,47166.72,Delivered,2
PO000063,PROD0002,SUP016,WH01,10-07-2025,15-07-2025,16-07-2025,426,426,110.72,47166.72,Delivered,1
PO000064,PROD0002,SUP016,WH01,05-08-2025,10-08-2025,12-08-2025,426,426,110.72,47166.72,Delivered,2
PO000065,PROD0002,SUP016,WH01,08-09-2025,13-09-2025,15-09-2025,426,426,110.72,47166.72,Delivered,2
PO000066,PROD0002,SUP016,WH01,16-10-2025,21-10-2025,23-10-2025,426,426,110.72,47166.72,Delivered,2
PO000067,PROD0002,SUP016,WH01,27-11-2025,02-12-2025,03-12-2025,426,426,110.72,47166.72,Delivered,1
PO000068,PROD0003,SUP012,WH02,16-01-2025,03-02-2025,04-02-2025,916,916,8.32,7621.12,Delivered,1
PO000069,PROD0003,SUP012,WH02,24-02-2025,14-03-2025,18-03-2025,916,916,8.32,7621.12,Delivered,4
PO000070,PROD0003,SUP012,WH02,03-04-2025,21-04-2025,01-05-2025,916,916,8.32,7621.12,Delivered,10
PO000071,PROD0003,SUP012,WH02,15-05-2025,02-06-2025,13-06-2025,916,916,8.32,7621.12,Delivered,11
PO000072,PROD0003,SUP012,WH02,27-06-2025,15-07-2025,29-07-2025,916,916,8.32,7621.12,Delivered,14
PO000073,PROD0003,SUP012,WH02,12-08-2025,30-08-2025,30-08-2025,916,916,8.32,7621.12,Delivered,0
PO000074,PROD0003,SUP012,WH02,13-09-2025,01-10-2025,02-10-2025,916,916,8.32,7621.12,Delivered,1
PO000075,PROD0003,SUP012,WH02,17-10-2025,04-11-2025,18-11-2025,916,916,8.32,7621.12,Delivered,14
PO000076,PROD0003,SUP012,WH02,01-12-2025,19-12-2025,27-12-2025,916,862,8.32,7621.12,Partial - Defect/Shortage,8
PO000077,PROD0003,SUP012,WH03,08-01-2025,26-01-2025,26-01-2025,1065,1065,8.32,8860.8,Delivered,0
PO000078,PROD0003,SUP012,WH03,10-02-2025,28-02-2025,09-03-2025,1065,1065,8.32,8860.8,Delivered,9
PO000079,PROD0003,SUP012,WH03,24-03-2025,11-04-2025,11-04-2025,1065,1065,8.32,8860.8,Delivered,0
PO000080,PROD0003,SUP012,WH03,30-04-2025,18-05-2025,30-05-2025,1065,981,8.32,8860.8,Partial - Defect/Shortage,12
PO000081,PROD0003,SUP012,WH03,11-06-2025,29-06-2025,01-07-2025,1065,1065,8.32,8860.8,Delivered,2
PO000082,PROD0003,SUP012,WH03,16-07-2025,03-08-2025,12-08-2025,1065,1065,8.32,8860.8,Delivered,9
PO000083,PROD0003,SUP012,WH03,27-08-2025,14-09-2025,15-09-2025,1065,1065,8.32,8860.8,Delivered,1
PO000084,PROD0003,SUP012,WH03,26-09-2025,14-10-2025,21-10-2025,1065,1065,8.32,8860.8,Delivered,7
PO000085,PROD0003,SUP012,WH03,02-11-2025,20-11-2025,22-11-2025,1065,1065,8.32,8860.8,Delivered,2
PO000086,PROD0003,SUP012,WH03,04-12-2025,22-12-2025,24-12-2025,1065,1065,8.32,8860.8,Delivered,2
PO000087,PROD0003,SUP012,WH04,12-01-2025,30-01-2025,30-01-2025,751,751,8.32,6248.32,Delivered,0
PO000088,PROD0003,SUP012,WH04,17-02-2025,07-03-2025,09-03-2025,751,751,8.32,6248.32,Delivered,2
PO000089,PROD0003,SUP012,WH04,22-03-2025,09-04-2025,11-04-2025,751,751,8.32,6248.32,Delivered,2
PO000090,PROD0003,SUP012,WH04,26-04-2025,14-05-2025,27-05-2025,751,751,8.32,6248.32,Delivered,13
PO000091,PROD0003,SUP012,WH04,10-06-2025,28-06-2025,30-06-2025,751,705,8.32,6248.32,Partial - Defect/Shortage,2
PO000092,PROD0003,SUP012,WH04,12-07-2025,30-07-2025,31-07-2025,751,751,8.32,6248.32,Delivered,1
PO000093,PROD0003,SUP012,WH04,16-08-2025,03-09-2025,11-09-2025,751,664,8.32,6248.32,Partial - Defect/Shortage,8
PO000094,PROD0003,SUP012,WH04,19-09-2025,07-10-2025,10-10-2025,751,751,8.32,6248.32,Delivered,3
PO000095,PROD0003,SUP012,WH04,26-10-2025,13-11-2025,22-11-2025,751,751,8.32,6248.32,Delivered,9
PO000096,PROD0003,SUP012,WH04,06-12-2025,24-12-2025,28-12-2025,751,751,8.32,6248.32,Delivered,4
PO000097,PROD0003,SUP012,WH01,01-01-2025,19-01-2025,27-01-2025,741,741,8.32,6165.12,Delivered,8
PO000098,PROD0003,SUP012,WH01,10-02-2025,28-02-2025,14-03-2025,741,741,8.32,6165.12,Delivered,14
PO000099,PROD0003,SUP012,WH01,01-04-2025,19-04-2025,20-04-2025,741,741,8.32,6165.12,Delivered,1
PO000100,PROD0003,SUP012,WH01,07-05-2025,25-05-2025,05-06-2025,741,741,8.32,6165.12,Delivered,11
PO000101,PROD0003,SUP012,WH01,18-06-2025,06-07-2025,08-07-2025,741,741,8.32,6165.12,Delivered,2
PO000102,PROD0003,SUP012,WH01,23-07-2025,10-08-2025,22-08-2025,741,741,8.32,6165.12,Delivered,12
PO000103,PROD0003,SUP012,WH01,05-09-2025,23-09-2025,03-10-2025,741,741,8.32,6165.12,Delivered,10
PO000104,PROD0003,SUP012,WH01,18-10-2025,05-11-2025,07-11-2025,741,741,8.32,6165.12,Delivered,2
PO000105,PROD0003,SUP012,WH01,19-11-2025,07-12-2025,09-12-2025,741,741,8.32,6165.12,Delivered,2
PO000106,PROD0003,SUP012,WH01,20-12-2025,07-01-2026,17-01-2026,741,741,8.32,6165.12,Delivered,10
PO000107,PROD0003,SUP012,WH01,21-12-2025,08-01-2026,13-01-2026,741,741,8.32,6165.12,Delivered,5
PO000108,PROD0003,SUP012,WH01,22-12-2025,09-01-2026,21-01-2026,741,741,8.32,6165.12,Delivered,12
PO000109,PROD0003,SUP012,WH01,23-12-2025,10-01-2026,14-01-2026,741,741,8.32,6165.12,Delivered,4
PO000110,PROD0003,SUP012,WH01,24-12-2025,11-01-2026,12-01-2026,741,741,8.32,6165.12,Delivered,1
PO000111,PROD0003,SUP012,WH01,25-12-2025,12-01-2026,12-01-2026,741,741,8.32,6165.12,Delivered,0
PO000112,PROD0003,SUP012,WH01,26-12-2025,13-01-2026,16-01-2026,741,741,8.32,6165.12,Delivered,3
PO000113,PROD0003,SUP012,WH01,27-12-2025,14-01-2026,15-01-2026,741,741,8.32,6165.12,Delivered,1
PO000114,PROD0003,SUP012,WH01,28-12-2025,15-01-2026,25-01-2026,741,741,8.32,6165.12,Delivered,10
PO000115,PROD0003,SUP012,WH01,29-12-2025,16-01-2026,18-01-2026,741,741,8.32,6165.12,Delivered,2
PO000116,PROD0003,SUP012,WH01,30-12-2025,17-01-2026,25-01-2026,741,713,8.32,6165.12,Partial - Defect/Shortage,8
PO000117,PROD0003,SUP012,WH01,31-12-2025,18-01-2026,26-01-2026,741,741,8.32,6165.12,Delivered,8
PO000118,PROD0004,SUP010,WH02,05-01-2025,19-01-2025,21-01-2025,645,645,84.63,54586.35,Delivered,2
PO000119,PROD0004,SUP010,WH02,21-02-2025,07-03-2025,08-03-2025,645,573,84.63,54586.35,Partial - Defect/Shortage,1
PO000120,PROD0004,SUP010,WH02,02-04-2025,16-04-2025,16-04-2025,645,645,84.63,54586.35,Delivered,0
PO000121,PROD0004,SUP010,WH02,08-05-2025,22-05-2025,23-05-2025,645,645,84.63,54586.35,Delivered,1
PO000122,PROD0004,SUP010,WH02,13-06-2025,27-06-2025,28-06-2025,645,645,84.63,54586.35,Delivered,1
PO000123,PROD0004,SUP010,WH02,18-07-2025,01-08-2025,03-08-2025,645,645,84.63,54586.35,Delivered,2
PO000124,PROD0004,SUP010,WH02,26-08-2025,09-09-2025,09-09-2025,645,645,84.63,54586.35,Delivered,0
PO000125,PROD0004,SUP010,WH02,26-09-2025,10-10-2025,10-10-2025,645,645,84.63,54586.35,Delivered,0
PO000126,PROD0004,SUP010,WH02,22-10-2025,05-11-2025,09-11-2025,645,645,84.63,54586.35,Delivered,4
PO000127,PROD0004,SUP010,WH02,19-11-2025,03-12-2025,04-12-2025,645,645,84.63,54586.35,Delivered,1
PO000128,PROD0004,SUP010,WH02,13-12-2025,27-12-2025,27-12-2025,645,645,84.63,54586.35,Delivered,0
PO000129,PROD0004,SUP010,WH01,06-01-2025,20-01-2025,20-01-2025,626,626,84.63,52978.38,Delivered,0
PO000130,PROD0004,SUP010,WH01,14-02-2025,28-02-2025,28-02-2025,626,626,84.63,52978.38,Delivered,0
PO000131,PROD0004,SUP010,WH01,26-03-2025,09-04-2025,09-04-2025,626,626,84.63,52978.38,Delivered,0
PO000132,PROD0004,SUP010,WH01,07-05-2025,21-05-2025,22-05-2025,626,626,84.63,52978.38,Delivered,1
PO000133,PROD0004,SUP010,WH01,14-06-2025,28-06-2025,28-06-2025,626,626,84.63,52978.38,Delivered,0
PO000134,PROD0004,SUP010,WH01,19-07-2025,02-08-2025,03-08-2025,626,626,84.63,52978.38,Delivered,1
PO000135,PROD0004,SUP010,WH01,20-08-2025,03-09-2025,05-09-2025,626,626,84.63,52978.38,Delivered,2
PO000136,PROD0004,SUP010,WH01,24-09-2025,08-10-2025,10-10-2025,626,583,84.63,52978.38,Partial - Defect/Shortage,2
PO000137,PROD0004,SUP010,WH01,20-10-2025,03-11-2025,04-11-2025,626,626,84.63,52978.38,Delivered,1
PO000138,PROD0004,SUP010,WH01,12-11-2025,26-11-2025,04-12-2025,626,626,84.63,52978.38,Delivered,8
PO000139,PROD0004,SUP010,WH01,13-12-2025,27-12-2025,07-01-2026,626,542,84.63,52978.38,Partial - Defect/Shortage,11
PO000140,PROD0004,SUP010,WH01,14-12-2025,28-12-2025,28-12-2025,626,626,84.63,52978.38,Delivered,0
PO000141,PROD0005,SUP012,WH01,04-01-2025,22-01-2025,27-01-2025,392,392,52.46,20564.32,Delivered,5
PO000142,PROD0005,SUP012,WH01,15-02-2025,05-03-2025,06-03-2025,392,392,52.46,20564.32,Delivered,1
PO000143,PROD0005,SUP012,WH01,24-03-2025,11-04-2025,22-04-2025,392,392,52.46,20564.32,Delivered,11
PO000144,PROD0005,SUP012,WH01,06-05-2025,24-05-2025,28-05-2025,392,392,52.46,20564.32,Delivered,4
PO000145,PROD0005,SUP012,WH01,14-06-2025,02-07-2025,03-07-2025,392,392,52.46,20564.32,Delivered,1
PO000146,PROD0005,SUP012,WH01,25-07-2025,12-08-2025,12-08-2025,392,392,52.46,20564.32,Delivered,0
PO000147,PROD0005,SUP012,WH01,28-08-2025,15-09-2025,24-09-2025,392,392,52.46,20564.32,Delivered,9
PO000148,PROD0005,SUP012,WH01,07-10-2025,25-10-2025,04-11-2025,392,392,52.46,20564.32,Delivered,10
PO000149,PROD0005,SUP012,WH01,13-11-2025,01-12-2025,15-12-2025,392,392,52.46,20564.32,Delivered,14
PO000150,PROD0005,SUP012,WH01,24-12-2025,11-01-2026,12-01-2026,392,392,52.46,20564.32,Delivered,1
PO000151,PROD0005,SUP012,WH01,25-12-2025,12-01-2026,16-01-2026,392,392,52.46,20564.32,Delivered,4
PO000152,PROD0005,SUP012,WH01,26-12-2025,13-01-2026,15-01-2026,392,392,52.46,20564.32,Delivered,2
PO000153,PROD0005,SUP012,WH01,27-12-2025,14-01-2026,24-01-2026,392,392,52.46,20564.32,Delivered,10
PO000154,PROD0005,SUP012,WH01,28-12-2025,15-01-2026,19-01-2026,392,392,52.46,20564.32,Delivered,4
PO000155,PROD0005,SUP012,WH01,29-12-2025,16-01-2026,28-01-2026,392,392,52.46,20564.32,Delivered,12
PO000156,PROD0005,SUP012,WH01,30-12-2025,17-01-2026,30-01-2026,392,392,52.46,20564.32,Delivered,13
PO000157,PROD0005,SUP012,WH01,31-12-2025,18-01-2026,26-01-2026,392,392,52.46,20564.32,Delivered,8
PO000158,PROD0005,SUP012,WH03,06-01-2025,24-01-2025,26-01-2025,461,461,52.46,24184.06,Delivered,2
PO000159,PROD0005,SUP012,WH03,14-02-2025,04-03-2025,12-03-2025,461,461,52.46,24184.06,Delivered,8
PO000160,PROD0005,SUP012,WH03,28-03-2025,15-04-2025,27-04-2025,461,461,52.46,24184.06,Delivered,12
PO000161,PROD0005,SUP012,WH03,11-05-2025,29-05-2025,05-06-2025,461,461,52.46,24184.06,Delivered,7
PO000162,PROD0005,SUP012,WH03,18-06-2025,06-07-2025,07-07-2025,461,461,52.46,24184.06,Delivered,1
PO000163,PROD0005,SUP012,WH03,24-07-2025,11-08-2025,12-08-2025,461,461,52.46,24184.06,Delivered,1
PO000164,PROD0005,SUP012,WH03,24-08-2025,11-09-2025,13-09-2025,461,461,52.46,24184.06,Delivered,2
PO000165,PROD0005,SUP012,WH03,27-09-2025,15-10-2025,17-10-2025,461,461,52.46,24184.06,Delivered,2
PO000166,PROD0005,SUP012,WH03,28-10-2025,15-11-2025,16-11-2025,461,461,52.46,24184.06,Delivered,1
PO000167,PROD0005,SUP012,WH03,25-11-2025,13-12-2025,22-12-2025,461,461,52.46,24184.06,Delivered,9
PO000168,PROD0005,SUP012,WH03,28-12-2025,15-01-2026,28-01-2026,461,461,52.46,24184.06,Delivered,13
PO000169,PROD0005,SUP012,WH03,29-12-2025,16-01-2026,18-01-2026,461,461,52.46,24184.06,Delivered,2
PO000170,PROD0005,SUP012,WH03,30-12-2025,17-01-2026,23-01-2026,461,461,52.46,24184.06,Delivered,6
PO000171,PROD0005,SUP012,WH03,31-12-2025,18-01-2026,19-01-2026,461,461,52.46,24184.06,Delivered,1
PO000172,PROD0005,SUP012,WH02,11-01-2025,29-01-2025,04-02-2025,379,379,52.46,19882.34,Delivered,6
PO000173,PROD0005,SUP012,WH02,25-02-2025,15-03-2025,17-03-2025,379,379,52.46,19882.34,Delivered,2
PO000174,PROD0005,SUP012,WH02,07-04-2025,25-04-2025,27-04-2025,379,379,52.46,19882.34,Delivered,2
PO000175,PROD0005,SUP012,WH02,13-05-2025,31-05-2025,01-06-2025,379,379,52.46,19882.34,Delivered,1
PO000176,PROD0005,SUP012,WH02,20-06-2025,08-07-2025,11-07-2025,379,379,52.46,19882.34,Delivered,3
PO000177,PROD0005,SUP012,WH02,27-07-2025,14-08-2025,28-08-2025,379,379,52.46,19882.34,Delivered,14
PO000178,PROD0005,SUP012,WH02,12-09-2025,30-09-2025,01-10-2025,379,379,52.46,19882.34,Delivered,1
PO000179,PROD0005,SUP012,WH02,12-10-2025,30-10-2025,31-10-2025,379,379,52.46,19882.34,Delivered,1
PO000180,PROD0005,SUP012,WH02,07-11-2025,25-11-2025,25-11-2025,379,379,52.46,19882.34,Delivered,0
PO000181,PROD0005,SUP012,WH02,04-12-2025,22-12-2025,24-12-2025,379,379,52.46,19882.34,Delivered,2
PO000182,PROD0005,SUP012,WH02,31-12-2025,18-01-2026,19-01-2026,379,379,52.46,19882.34,Delivered,1
PO000183,PROD0006,SUP007,WH01,02-01-2025,09-01-2025,09-01-2025,1233,1233,7.7,9494.1,Delivered,0
PO000184,PROD0006,SUP007,WH01,01-02-2025,08-02-2025,10-02-2025,1233,1233,7.7,9494.1,Delivered,2
PO000185,PROD0006,SUP007,WH01,10-03-2025,17-03-2025,31-03-2025,1233,1233,7.7,9494.1,Delivered,14
PO000186,PROD0006,SUP007,WH01,26-04-2025,03-05-2025,04-05-2025,1233,1233,7.7,9494.1,Delivered,1
PO000187,PROD0006,SUP007,WH01,29-05-2025,05-06-2025,06-06-2025,1233,1233,7.7,9494.1,Delivered,1
PO000188,PROD0006,SUP007,WH01,05-07-2025,12-07-2025,12-07-2025,1233,1233,7.7,9494.1,Delivered,0
PO000189,PROD0006,SUP007,WH01,06-08-2025,13-08-2025,14-08-2025,1233,1233,7.7,9494.1,Delivered,1
PO000190,PROD0006,SUP007,WH01,10-09-2025,17-09-2025,17-09-2025,1233,1233,7.7,9494.1,Delivered,0
PO000191,PROD0006,SUP007,WH01,14-10-2025,21-10-2025,23-10-2025,1233,1233,7.7,9494.1,Delivered,2
PO000192,PROD0006,SUP007,WH01,15-11-2025,22-11-2025,22-11-2025,1233,1233,7.7,9494.1,Delivered,0
PO000193,PROD0006,SUP007,WH01,15-12-2025,22-12-2025,23-12-2025,1233,1233,7.7,9494.1,Delivered,1
PO000194,PROD0006,SUP007,WH02,02-01-2025,09-01-2025,09-01-2025,1310,1310,7.7,10087,Delivered,0
PO000195,PROD0006,SUP007,WH02,05-02-2025,12-02-2025,26-02-2025,1310,1310,7.7,10087,Delivered,14
PO000196,PROD0006,SUP007,WH02,27-03-2025,03-04-2025,05-04-2025,1310,1310,7.7,10087,Delivered,2
PO000197,PROD0006,SUP007,WH02,03-05-2025,10-05-2025,12-05-2025,1310,1310,7.7,10087,Delivered,2
PO000198,PROD0006,SUP007,WH02,08-06-2025,15-06-2025,15-06-2025,1310,1310,7.7,10087,Delivered,0
PO000199,PROD0006,SUP007,WH02,13-07-2025,20-07-2025,20-07-2025,1310,1310,7.7,10087,Delivered,0
PO000200,PROD0006,SUP007,WH02,17-08-2025,24-08-2025,25-08-2025,1310,1310,7.7,10087,Delivered,1
PO000201,PROD0006,SUP007,WH02,20-09-2025,27-09-2025,28-09-2025,1310,1310,7.7,10087,Delivered,1
PO000202,PROD0006,SUP007,WH02,27-10-2025,03-11-2025,04-11-2025,1310,1310,7.7,10087,Delivered,1
PO000203,PROD0006,SUP007,WH02,26-11-2025,03-12-2025,16-12-2025,1310,1310,7.7,10087,Delivered,13
PO000204,PROD0006,SUP007,WH03,06-01-2025,13-01-2025,25-01-2025,1257,1257,7.7,9678.9,Delivered,12
PO000205,PROD0006,SUP007,WH03,22-02-2025,01-03-2025,01-03-2025,1257,1257,7.7,9678.9,Delivered,0
PO000206,PROD0006,SUP007,WH03,01-04-2025,08-04-2025,08-04-2025,1257,1257,7.7,9678.9,Delivered,0
PO000207,PROD0006,SUP007,WH03,07-05-2025,14-05-2025,15-05-2025,1257,1257,7.7,9678.9,Delivered,1
PO000208,PROD0006,SUP007,WH03,11-06-2025,18-06-2025,18-06-2025,1257,1257,7.7,9678.9,Delivered,0
PO000209,PROD0006,SUP007,WH03,16-07-2025,23-07-2025,23-07-2025,1257,1257,7.7,9678.9,Delivered,0
PO000210,PROD0006,SUP007,WH03,14-08-2025,21-08-2025,23-08-2025,1257,1257,7.7,9678.9,Delivered,2
PO000211,PROD0006,SUP007,WH03,18-09-2025,25-09-2025,25-09-2025,1257,1257,7.7,9678.9,Delivered,0
PO000212,PROD0006,SUP007,WH03,22-10-2025,29-10-2025,11-11-2025,1257,1257,7.7,9678.9,Delivered,13
PO000213,PROD0006,SUP007,WH03,04-12-2025,11-12-2025,11-12-2025,1257,1257,7.7,9678.9,Delivered,0
PO000214,PROD0006,SUP007,WH03,31-12-2025,07-01-2026,09-01-2026,1257,1257,7.7,9678.9,Delivered,2
PO000215,PROD0006,SUP007,WH04,06-01-2025,13-01-2025,13-01-2025,1047,1047,7.7,8061.9,Delivered,0
PO000216,PROD0006,SUP007,WH04,07-02-2025,14-02-2025,15-02-2025,1047,1047,7.7,8061.9,Delivered,1
PO000217,PROD0006,SUP007,WH04,15-03-2025,22-03-2025,24-03-2025,1047,1047,7.7,8061.9,Delivered,2
PO000218,PROD0006,SUP007,WH04,23-04-2025,30-04-2025,01-05-2025,1047,1047,7.7,8061.9,Delivered,1
PO000219,PROD0006,SUP007,WH04,28-05-2025,04-06-2025,06-06-2025,1047,1047,7.7,8061.9,Delivered,2
PO000220,PROD0006,SUP007,WH04,30-06-2025,07-07-2025,07-07-2025,1047,1047,7.7,8061.9,Delivered,0
PO000221,PROD0006,SUP007,WH04,03-08-2025,10-08-2025,11-08-2025,1047,1047,7.7,8061.9,Delivered,1
PO000222,PROD0006,SUP007,WH04,08-09-2025,15-09-2025,17-09-2025,1047,1047,7.7,8061.9,Delivered,2
PO000223,PROD0006,SUP007,WH04,11-10-2025,18-10-2025,19-10-2025,1047,1047,7.7,8061.9,Delivered,1
